002_0000_0000.0-0013.6|Forord I slutningen af 2014 blev jeg af forlaget People’sPress sat i kontakt med Jakob Scharf som efter næsten syv år i spidsen for PET havde forladt politiet og var ved at stifte sin egen sikkerhedsvirksomhed|borger i slutningen af 2014 blev jeg er forlaget people's press sat i kontakt med jacob schaap som efter næsten 7 år i spidsen for pt havde forladt politiet og få ved at skifte sin egen sikkerhedsvirksomhed
002_0001_0013.6-0024.5|Han gik med tanker om at fortælle om sin tid i PET og terrortruslen mod Danmark i en bog og efter et par indledende samtaler aftalte vi at gennemføre det første af en lang række interviews|han gik med tanker om at fortælle om sin tid i pkt og terrortruslen mod danmark i en bog og efter et par enhed samtaler aftalte vi at gennemføre det 1. er en lang række interviews
002_0002_0024.5-0035.3|Vi skulle mødes 17. februar 2015. Skæbnen ville det sådan at Danmark et par dage inden blev ramt af terror for første gang i årtier|vi skulle mødes den 17. februar 2015 skæbnen ville det sådan at danmark et par dage inden blev ramt af terror over for 1. gang i årtier
002_0003_0035.3-0038.8|På en tragisk baggrund blev projektet pludselig meget aktuelt|på en tragisk baggrund blev projektet pludselig meget aktuelt
002_0004_0038.8-0053.9|En 22-årig danskpalæstinenser havde dræbt to uskyldige og såret flere politibetjente og det meste af natten mellem 14. og 15. februar 2015 havde København befundet sig i noget som mindede om undtagelsestilstand|en 22 årig dansk palæstinenser havde dræbt af tog skilte og solfilm politibetjent og det meste af natten mellem den 14. og 15. februar 2015 i københavn blev fundet sig i noget som minder om undtagelsestilstand
002_0006_0061.8-0065.0|Med ét var truslen mod Danmark blevet virkelig|med et par truslen mod danmark blevet virkelig
002_0009_0074.4-0077.6|Truslen mod Danmark havde længe været alvorlig|truslen mod danmark havde længe været alvorlig
002_0010_0077.6-0087.6|Siden 2005 var en lang række terrorplaner mod Danmark blevet forpurret og flere af dem kunne være endt langt blodigere end terrorangrebet i februar 2015|siden 2005 har en lang række terrorplaner mod danmark bøde forpurret og flere af dem kunne være en del af blod i øjet terrorangrebet i februar 2015
002_0012_0092.8-0097.0|Omar el-Hussein kom ikke ud af det blå|omar el-hussein kom ikke ud af det blå
002_0013_0097.0-0104.6|Hans ugerning var en trist kulmination på en årelang udvikling som det er nødvendigt at kende hvis man vil forstå truslen mod Danmark|hans ugerning var en trist kulmination på en årelang udvikling som det er nødvendigt at kende hvis man får stor trussel mod danmark
002_0014_0104.6-0106.6|Det er hvad denne bog handler om|det var denne bog handler om
002_0015_0106.6-0113.8|Bogen er et portræt ikke så meget af Jakob Scharf men af den historiske periode hvor truslen for alvor kom til Danmark|bogen er et portræt ikke så meget af jacob schaap men at den historiske periode hvor truslen for alvor kommet til danmark
002_0016_0113.8-0115.9|Af hans syv år for PET|af hans syv år for pet
002_0017_0115.9-0123.8| I løbet af 2015 og 2016 interviewede jeg Jakob Scharf gennem mange timer og dage|i løbet af 2005 at 2016 interviewer jakob scharfs gennem mange timer og dage
002_0018_0123.8-0127.7|Aftalen var fra begyndelsen den at jeg måtte spørge til alt|aftalen var begyndelsen den at jeg måtte spørge til alt
002_0019_0127.7-0130.1|Det var dog ikke alle spørgsmål jeg kunne få besvaret|det var dog ikke alle spørgsmål jeg kan få besvaret
002_0021_0146.2-0151.0|Men der var ikke nogen begrænsning for hvilke emner eller sager jeg kunne spørge til|men der var ikke nogen begrænsning for hvilke emner eller ser jeg kunne spørge til
002_0022_0151.0-0157.4|Når man som journalist har en så central kilde skal man altid overveje hvad kildens motiv er|når man som journalist har en så central kilde skal man altid overarbejder kildens motiv er
002_0025_0171.4-0179.2|Det er ikke mit indtryk at det økonomiske incitament spiller nogen rolle for Jakob Scharf og jeg mener ikke at det påvirker hans troværdighed|det er ikke mit indtryk at det økonomiske incitament spiller nogen rolle for jacob schaap og jeg mener ikke at det påvirker instru værdighed
002_0026_0179.9-0184.8|Mit klare indtryk er at Jakob Scharf har to motiver for at fortælle offentligheden om tiden i PET|mit indtryk er at jakob scharf to motiver for at fortælle offentligheden om tiden i bet
